Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_12_trace,48.495734214782715,Pass,7266.977653264999,40000016,8129354,4.9204,4420257,49330,0.5437,0.0061,1.1160%,1.2332,3027437,61.3711,75.6859,20000016,3949895,5.0634,2222665,22160,0.5627,0.0056,0.9970%,1.1080,1360177,61.3798,68.0088
fp,fp_13_trace,84.63656806945801,Pass,6641.059774398804,40000016,15273658,2.6189,6454282,506273,0.4226,0.0331,7.8440%,12.6568,10769347,21.2718,269.2336,20000016,7489293,2.6705,3233671,253060,0.4318,0.0338,7.8258%,12.6530,5293426,20.9177,264.6711
web,web_0_trace,104.021315574646,Pass,7154.147213935852,39999493,20611794,1.9406,11904941,59990,0.5776,0.0029,0.5039%,1.4998,7430731,123.8662,185.7706,20999493,10328118,2.0332,6370198,22848,0.6168,0.0022,0.3587%,1.0880,2910170,127.3709,138.5829
web,web_1_trace,158.93916416168213,Pass,7370.4098126888275,39999048,12201956,3.2781,5515292,141799,0.4520,0.0116,2.5710%,3.5451,4675661,32.9739,116.8943,20999048,5075802,4.1371,2909408,75557,0.5732,0.0149,2.5970%,3.5981,2053344,27.1761,97.7827
web,web_2_trace,126.7424545288086,Pass,6499.069158792496,39999746,12189958,3.2814,5842811,168886,0.4793,0.0139,2.8905%,4.2222,4584922,27.1480,114.6238,20999746,5924146,3.5448,3176039,92924,0.5361,0.0157,2.9258%,4.4250,2672963,28.7650,127.2855
web,web_3_trace,134.2002592086792,Pass,6736.368446111679,39999981,12410015,3.2232,6018442,161418,0.4850,0.0130,2.6821%,4.0355,4746705,29.4063,118.6677,20999981,5701286,3.6834,3382696,75160,0.5933,0.0132,2.2219%,3.5791,2556788,34.0179,121.7519
web,web_4_trace,107.63480854034424,Pass,6407.951855182648,39999718,13525177,2.9574,6265226,182431,0.4632,0.0135,2.9118%,4.5608,5265638,28.8637,131.6419,20999718,6450414,3.2556,3426349,86806,0.5312,0.0135,2.5335%,4.1337,2342858,26.9896,111.5662
web,web_5_trace,119.46124076843262,Pass,6658.7013375759125,39999694,12565768,3.1832,6198022,192149,0.4932,0.0153,3.1002%,4.8038,4923623,25.6240,123.0915,20999694,6588224,3.1875,3330435,115921,0.5055,0.0176,3.4807%,5.5201,2885002,24.8877,137.3830
web,web_6_trace,115.35440254211426,Pass,6758.508214235306,40000022,13257757,3.0171,6002648,199533,0.4528,0.0151,3.3241%,4.9883,5770834,28.9217,144.2708,20000022,6935083,2.8839,2962421,122579,0.4272,0.0177,4.1378%,6.1289,3527856,28.7803,176.3926
web,web_7_trace,41.589111328125,Pass,5242.687764883041,39999850,10398352,3.8467,6633962,306781,0.6380,0.0295,4.6244%,7.6696,5667851,18.4752,141.6968,20999850,5036167,4.1698,3471337,147701,0.6893,0.0293,4.2549%,7.0334,2533338,17.1518,120.6360
